#: RE			p p --> Jet X
#: SQRT(s) [GEV]			2760
#: Jet $|\eta|$			< 2.0
#: anti-k$_T$ R			0.3
# Jet $p_T$ [GEV/c]	Jet $p_T$ [GEV/c] LOW	Jet $p_T$ [GEV/c] HIGH	$d^2 \sigma / dp_T d\eta$ [nb/GEV/c]	stat +	stat -	sys +	sys -
69	64	74	4.36	0	0	0.35	-0.35
79	74	84	2.03	0	0	0.15	-0.15
90.5	84	97	0.954	0	0	0.066	-0.066
105.5	97	114	0.394	0	0	0.065	-0.065
123.5	114	133	0.152	0	0	0.026	-0.026
143	133	153	0.06	0	0	0.0099	-0.0099
163.5	153	174	0.0255	0	0	0.0038	-0.0038
185	174	196	0.0108	0	0	0.0016	-0.0016
208	196	220	0.00469	0	0	0.00065	-0.00065
232.5	220	245	0.00229	0	0	0.00028	-0.00028
258.5	245	272	0.00111	0	0	0.00013	-0.00013
286	272	300	0.000497	0	0	5.7E-05	-5.7E-05


