#: RE			p p --> Jet X				
#: SQRT(s) [GEV]			2760				
#: Jet $|\eta|$			< 2.0				
#: anti-k$_T$ R			0.4				
# Jet $p_T$ [GEV/c]	Jet $p_T$ [GEV/c] LOW	Jet $p_T$ [GEV/c] HIGH	$d^2 \sigma / dp_T d\eta$ [nb/GEV/c]	stat +	stat -	sys +	sys -
69	64	74	5.46	0	0	0.45	-0.45
79	74	84	2.52	0	0	0.18	-0.18
90.5	84	97	1.17	0	0	0.083	-0.083
105.5	97	114	0.478	0	0	0.082	-0.082
123.5	114	133	0.183	0	0	0.033	-0.033
143	133	153	0.071	0	0	0.012	-0.012
163.5	153	174	0.0303	0	0	0.0045	-0.0045
185	174	196	0.0127	0	0	0.0019	-0.0019
208	196	220	0.00548	0	0	0.00078	-0.00078
232.5	220	245	0.00263	0	0	0.00034	-0.00034
258.5	245	272	0.00125	0	0	0.00016	-0.00016
286	272	300	0.000578	0	0	7E-05	-7E-05

